0,0,0
8.4,25.0,10.0
7.9,33.0,0.6
8.4,60.0,1.2
8.2,33.0,0.25
6.3,33.0,0.02
6.5,33.0,1.0
7.1,15.0,1.3
8.6,25.0,5.0
7.8,20.0,0.1
8.4,25.0,3.5
7.5,33.0,1.5
7.3,500.0,4.0
8.3,60.0,2.0
7.5,130.0,1.4
6.8,33.0,1.2
7.2,40.0,13.0
6.9,33.0,1.8
6.6,100.0,0.5
6.8,33.0,1.5
7.0,33.0,0.1
8.0,15.0,0.1
6.3,30.0,3.0
6.7,14.0,1.5
7.8,60.0,1.0
7.8,35.0,4.5
7.0,25.0,1.3
5.8,33.0,0.5
8.3,25.0,12.2
8.3,33.0,7.2
8.3,33.0,12.0
7.8,25.0,0.5
7.4,33.0,0.44
8.3,180.0,0.4
8.2,25.0,2.5
7.9,35.0,2.5
7.0,15.0,1.4
8.6,25.0,0.75
8.3,35.0,9.0
8.3,19.0,8.0
7.2,20.0,20.0
7.9,35.0,13.0
7.7,20.0,0.3
7.0,80.0,11.0
6.9,35.0,2.0
7.3,10.0,11.3
6.0,27.0,0.7
6.9,10.0,0.1
6.9,20.0,0.4
6.8,17.0,1.0
7.1,10.0,1.8
7.3,35.0,2.0
6.0,29.0,0.6
7.8,35.0,0.2
8.0,25.0,1.5
7.5,50.0,1.0
6.0,33.0,1.5
6.5,100.0,0.1
5.2,15.0,3.05
6.5,33.0,12.0
7.9,35.0,9.0
8.2,60.0,10.0
7.8,54.0,1.0
6.9,35.0,2.0
8.5,35.0,29.0
8.1,35.0,0.65
7.0,5.0,0.11
7.7,60.0,3.0
7.3,60.0,1.0
8.2,25.0,1.0
7.7,35.0,1.5
7.7,30.0,0.57
7.6,30.0,0.56
7.5,0.0,1.26
7.1,0.0,1.25
8.3,25.0,0.3
6.0,60.0,0.75
6.6,20.0,0.8
7.9,35.0,10.5
7.8,35.0,0.53
8.4,60.0,2.0
7.5,10.0,3.5
7.0,15.0,0.15
8.1,55.0,1.5
7.4,10.0,1.2
5.8,130.0,1.0
8.6,60.0,2.0
7.9,35.0,1.0
8.0,30.0,10.0
8.0,15.0,17.0
7.3,15.0,42.0
8.0,15.0,5.0
7.6,15.0,0.6
8.1,20.0,6.6
7.2,12.0,10.0
7.2,12.0,6.0
6.9,28.0,1.0
7.0,33.0,2.0
7.1,30.0,2.5
8.1,25.0,0.61
6.4,80.0,0.1
7.1,60.0,0.3
8.6,33.0,0.5
7.7,60.0,0.1
7.1,65.0,0.2
7.0,80.0,0.7
7.5,50.0,0.3
7.3,21.0,0.3
8.3,45.0,6.54
8.5,22.0,18.4
7.2,33.0,0.06
6.8,33.0,15.0
7.4,60.0,3.0
7.4,30.0,1.0
7.1,30.0,1.0
6.8,10.0,1.0
7.8,20.0,30.0
9.1,33.0,22.8
7.3,33.0,1.8
7.9,25.0,1.3
7.9,35.0,524.6
7.4,19.0,0.4
5.0,40.0,0.1
8.0,60.0,0.2
7.8,160.0,5.7
7.5,20.0,1.0
6.7,20.0,0.75
7.3,35.0,0.3
8.5,33.0,25.0
6.7,50.0,0.3
7.3,74.0,0.65
7.3,35.0,0.9
6.6,25.0,0.9
6.8,35.0,0.1
7.1,25.0,1.0
7.0,40.0,0.81
7.2,33.0,0.34
5.7,60.0,0.1
7.3,47.0,0.2
7.0,48.0,0.12
8.1,13.0,4.5
7.2,28.0,15.0
8.4,33.0,51.8
6.9,30.0,0.6
6.8,15.0,0.08
7.6,45.0,0.05
7.8,36.0,10.7
7.4,20.0,0.1
6.5,40.0,0.08
7.3,13.0,7.0
7.3,33.0,2.0
7.8,28.0,0.4
8.0,48.0,0.1
7.7,31.0,0.2
5.5,33.0,0.2
7.5,38.0,3.0
7.8,47.0,0.42
7.5,83.0,2.0
7.1,23.0,0.8
6.5,10.0,0.08
6.4,30.0,0.1
7.0,40.0,2.0
7.3,40.0,0.18
7.5,15.0,1.2
7.5,30.0,3.07
7.2,44.0,0.95
7.3,60.0,0.05
7.3,36.0,0.16
7.6,25.0,0.4
6.6,38.0,3.0
7.4,13.0,4.0
7.3,22.0,0.9
7.8,30.0,5.0
7.3,51.0,15.0
7.2,7.0,0.46
7.6,73.0,0.06
6.0,29.0,0.03
7.8,43.0,0.38
7.0,34.0,0.32
7.3,8.0,3.0
5.1,7.0,0.8
7.1,43.0,0.04
7.5,58.0,1.2
7.9,47.0,6.0
7.9,48.0,10.0
7.3,51.0,0.51
7.1,9.0,2.0
5.5,29.0,0.32
6.6,6.0,0.09
6.2,16.0,0.07
7.0,115.0,1.8
6.1,21.0,0.03
5.7,2.0,0.1
7.8,33.0,0.47
7.5,33.0,0.05
7.2,56.0,0.42
7.6,25.0,0.1
7.1,10.0,0.6
7.4,73.0,0.5
7.4,66.0,0.5
7.5,43.0,1.13
7.2,27.0,1.5
7.5,33.0,1.3
7.7,48.0,5.96
7.1,50.0,0.64
6.6,50.0,0.21
6.7,14.0,0.4
7.0,34.0,1.5
7.1,40.0,4.5
6.5,2.0,0.2
6.7,43.0,0.37
7.6,13.0,0.92
7.9,33.0,0.76
7.0,15.0,5.5
7.9,49.0,2.0
7.6,50.0,3.0
7.2,2.0,14.3
7.8,33.0,0.38
8.0,33.0,0.9
7.0,41.0,0.38
7.5,5.0,0.12
7.9,33.0,9.0
7.6,33.0,0.08
6.8,33.0,0.15
8.1,33.0,0.04
7.2,65.0,0.4
8.0,33.0,15.0
5.5,33.0,0.6
7.2,33.0,0.03
6.6,14.0,0.35
6.7,33.0,0.07
6.6,33.0,0.05
6.8,46.0,0.17
7.5,33.0,0.3
7.6,33.0,0.65
7.7,44.0,0.6
6.9,24.0,0.03
6.4,3.0,0.45
7.4,17.0,0.05
4.4,30.0,0.12
7.7,18.0,1.5
6.4,10.0,0.12
7.1,18.0,0.15
7.6,49.0,1.3
6.9,10.0,0.6
7.9,5.0,2.0
7.7,33.0,6.0
7.0,44.0,0.16
5.2,4.0,250.0
6.2,15.0,0.56
7.9,33.0,0.14
7.7,10.0,0.7
6.9,33.0,0.37
6.7,33.0,0.3
7.6,33.0,0.3
7.7,25.0,1.0
7.3,33.0,0.09
7.1,46.0,0.1
5.4,52.0,0.1
6.4,33.0,0.1
6.7,44.0,1.3
6.8,37.0,0.4
7.7,33.0,0.2
6.1,22.0,0.19
6.5,17.0,3.0
7.6,89.0,0.3
7.7,24.0,14.93
5.6,26.0,0.6
6.9,10.0,1.0
6.5,63.0,0.1
6.5,29.0,0.1
7.3,15.0,0.2
7.6,10.0,1.5
6.6,33.0,0.1
7.0,44.0,0.2
5.5,41.0,0.5
6.7,46.0,0.2
6.9,48.0,0.13
7.0,33.0,0.2
7.8,40.0,3.5
6.3,13.0,0.12
7.2,46.0,1.3
8.1,28.0,3.0
7.6,31.0,1.2
7.7,19.0,0.9
8.1,29.0,0.22
7.8,34.0,0.3
6.3,48.0,0.1
7.6,55.0,1.5
7.3,62.0,0.2
6.7,54.0,0.04
5.1,23.0,0.16
6.6,48.0,0.1
7.3,16.0,0.25
6.8,25.0,0.1
7.7,48.0,0.1
6.9,10.0,0.06
6.5,33.0,0.1
7.6,10.0,0.43
6.7,37.0,0.1
7.6,15.0,0.19
6.8,53.0,0.1
7.4,36.0,0.09
8.2,10.0,0.1
6.1,9.0,0.29
6.9,11.0,0.1
7.1,19.0,1.0
6.6,10.0,0.11
4.4,26.0,0.1
7.4,29.0,0.9
6.6,26.0,2.1
6.4,14.0,0.16
7.0,22.0,1.0
7.5,11.0,1.8
6.5,10.0,0.2
5.3,11.0,0.1
6.3,10.0,0.04
6.9,10.0,0.1
5.7,39.0,0.1
6.5,20.0,0.15
7.4,10.0,3.0
7.1,23.0,0.15
7.4,24.0,0.52
3.7,8.0,0.8
7.1,15.0,1.8
7.5,33.0,6.0
7.0,19.0,0.1
7.0,29.0,0.3
7.7,40.0,9.9
7.5,28.0,26.2
6.2,11.0,0.5
7.3,71.0,0.1
7.6,17.0,32.0
6.1,13.0,0.16
8.0,59.0,2.4
7.0,34.0,0.05
6.8,18.0,0.1
7.2,20.0,2.0
6.3,13.0,0.11
6.7,16.0,0.02
7.2,18.0,13.9
6.4,26.0,3.7
6.3,17.0,3.0
7.0,10.0,0.07
8.1,14.0,10.4
6.8,17.0,3.0
7.1,33.0,0.2
7.1,32.0,7.3
7.5,27.0,0.53
6.8,22.0,0.34
8.0,21.0,0.09
7.3,21.0,0.2
6.9,23.0,0.2
6.9,13.0,4.0
7.7,20.0,0.5
7.1,11.0,0.1
6.5,14.0,1.0
7.3,46.0,3.0
7.8,30.0,0.6
7.2,23.0,0.4
7.4,33.0,11.0
6.9,28.0,2.59
6.9,20.0,1.5
6.4,20.0,0.1
7.3,10.0,0.1
7.9,33.0,1.1
7.6,24.0,3.43
8.1,33.0,7.7
6.6,10.0,5.1
6.9,21.0,0.1
7.6,33.0,0.51
7.1,24.0,0.18
5.1,33.0,0.3
7.0,10.0,0.09
6.4,20.0,0.11
6.6,10.0,0.2
6.6,22.0,0.55
7.3,33.0,0.4
6.6,49.0,0.2
7.9,33.0,3.0
6.5,10.0,0.03
7.6,33.0,8.0
8.0,10.0,0.01
7.3,33.0,0.13
7.1,25.0,15.03
7.7,33.0,2.75
7.8,13.0,2.52
7.3,33.0,6.6
5.4,38.0,0.5
7.5,26.0,6.0
7.8,10.0,0.3
6.1,10.0,0.07
5.9,10.0,0.07
6.5,10.0,0.14
8.2,17.0,3.0
7.8,60.0,0.25
8.2,33.0,8.8
5.8,20.0,0.11
7.3,14.0,0.12
7.5,21.0,3.0
7.2,31.0,3.0
6.6,33.0,0.05
7.4,33.0,0.2
7.8,13.0,5.5
7.7,10.0,5.0
7.8,33.0,2.0
7.6,24.0,0.61
6.9,12.0,3.0
5.5,8.0,0.08
7.5,28.0,0.15
8.1,27.0,4.4
6.8,10.0,0.32
7.2,33.0,0.33
5.9,10.0,0.15
4.8,27.0,1.0
7.0,14.0,0.63
7.1,10.0,0.93
6.4,10.0,0.06
6.1,14.0,0.7
6.7,39.0,0.12
7.7,10.0,0.3
8.8,30.0,50.9
6.4,28.0,0.39
8.4,30.0,4.2
6.7,19.0,0.4
7.1,10.0,0.1
6.8,36.0,0.05
6.8,11.0,0.42
6.7,30.0,3.5
7.8,55.0,0.27
7.2,34.0,20.9
6.6,28.0,0.08
6.6,39.0,0.1
7.8,10.0,21.9
7.3,10.0,0.07
8.2,10.0,0.4
7.0,34.0,0.08
6.8,8.0,0.1
7.9,24.0,12.1
6.3,37.0,10.0
6.2,5.0,0.19
6.6,21.0,0.03
7.9,39.0,10.05
7.3,35.0,0.05
8.5,34.0,5.0
7.4,40.0,0.28
6.6,25.0,0.12
7.3,33.0,0.16
6.2,32.0,0.03
7.0,22.0,0.2
7.0,25.0,0.09
7.0,30.0,0.13
7.5,17.0,0.39
7.5,36.0,0.11
7.2,22.0,0.13
7.6,34.0,0.15
7.2,10.0,4.0
7.7,12.0,0.47
7.6,5.0,0.01
6.7,20.0,0.18
8.1,18.0,22.35
7.3,45.0,0.31
6.4,26.0,0.01
7.1,25.0,7.52
6.7,15.0,0.03
7.3,13.0,3.21
7.0,25.0,0.1
8.5,23.0,29.0
7.0,11.0,0.14
7.9,31.0,0.44
7.5,35.0,0.03
7.3,25.0,0.23
6.9,10.0,0.07
7.3,20.0,16.9
7.5,14.0,0.13
7.4,16.0,4.1
6.4,24.0,0.03
6.3,6.0,3.5
7.3,32.0,0.6
8.3,30.0,38.9
7.0,42.0,0.08
7.8,17.0,1.2
7.0,23.0,0.09
7.1,32.0,0.18
7.1,28.0,0.18
6.9,32.0,0.06
7.5,33.0,0.14
6.9,23.0,0.08
6.9,12.0,0.2
7.6,20.0,0.2
7.6,28.0,0.15
7.7,35.0,0.16
7.5,14.0,12.98
7.4,24.0,0.35
7.3,31.0,1.0
7.7,10.0,1.5
7.4,24.0,11.0
6.9,21.0,0.09
6.7,17.0,0.07
