ms,fd,wh
2.128231706,3.218875825,2.302585093
2.066862759,3.496507561,-0.510825624
2.128231706,4.094344562,0.182321557
2.104134154,3.496507561,-1.386294361
1.840549633,3.496507561,-3.912023005
1.871802177,3.496507561,0
1.960094784,2.708050201,0.262364264
2.151762203,3.218875825,1.609437912
2.054123734,2.995732274,-2.302585093
2.128231706,3.218875825,1.252762968
2.014903021,3.496507561,0.405465108
2.116255515,4.094344562,0.693147181
2.014903021,4.86753445,0.336472237
1.916922612,3.496507561,0.182321557
1.974081026,3.688879454,2.564949357
1.931521412,3.496507561,0.587786665
1.887069649,4.605170186,-0.693147181
1.916922612,3.496507561,0.405465108
1.945910149,3.496507561,-2.302585093
2.079441542,2.708050201,-2.302585093
1.840549633,3.401197382,1.098612289
1.902107526,2.63905733,0.405465108
2.054123734,4.094344562,0
2.054123734,3.555348061,1.504077397
1.945910149,3.218875825,0.262364264
1.757857918,3.496507561,-0.693147181
2.116255515,3.218875825,2.501435952
2.116255515,3.496507561,1.974081026
2.116255515,3.496507561,2.48490665
2.054123734,3.218875825,-0.693147181
2.00148,3.496507561,-0.820980552
2.116255515,5.192956851,-0.916290732
2.104134154,3.218875825,0.916290732
2.066862759,3.555348061,0.916290732
1.945910149,2.708050201,0.336472237
2.151762203,3.218875825,-0.287682072
2.116255515,3.555348061,2.197224577
2.116255515,2.944438979,2.079441542
1.974081026,2.995732274,2.995732274
2.066862759,3.555348061,2.564949357
2.041220329,2.995732274,-1.203972804
1.945910149,4.382026635,2.397895273
1.931521412,3.555348061,0.693147181
1.987874348,2.302585093,2.424802726
1.791759469,3.295836866,-0.356674944
1.931521412,2.302585093,-2.302585093
1.931521412,2.995732274,-0.916290732
1.916922612,2.833213344,0
1.960094784,2.302585093,0.587786665
1.987874348,3.555348061,0.693147181
1.791759469,3.36729583,-0.510825624
2.054123734,3.555348061,-1.609437912
2.079441542,3.218875825,0.405465108
2.014903021,3.912023005,0
1.791759469,3.496507561,0.405465108
1.871802177,4.605170186,-2.302585093
1.648658626,2.708050201,1.115141591
1.871802177,3.496507561,2.48490665
2.066862759,3.555348061,2.197224577
2.104134154,4.094344562,2.302585093
2.054123734,3.988984047,0
1.931521412,3.555348061,0.693147181
2.140066163,3.555348061,3.36729583
2.091864062,3.555348061,-0.430782916
1.945910149,1.609437912,-2.207274913
2.041220329,4.094344562,1.098612289
1.987874348,4.094344562,0
2.104134154,3.218875825,0
2.041220329,3.555348061,0.405465108
2.041220329,3.401197382,-0.562118918
2.028148247,3.401197382,-0.579818495
2.116255515,3.218875825,-1.203972804
1.791759469,4.094344562,-0.287682072
1.887069649,2.995732274,-0.223143551
2.066862759,3.555348061,2.351375257
2.054123734,3.555348061,-0.634878272
2.128231706,4.094344562,0.693147181
2.014903021,2.302585093,1.252762968
1.945910149,2.708050201,-1.897119985
2.091864062,4.007333185,0.405465108
2.00148,2.302585093,0.182321557
1.757857918,4.86753445,0
2.151762203,4.094344562,0.693147181
2.066862759,3.555348061,0
2.079441542,3.401197382,2.302585093
2.079441542,2.708050201,2.833213344
1.987874348,2.708050201,3.737669618
2.079441542,2.708050201,1.609437912
2.028148247,2.708050201,-0.510825624
2.091864062,2.995732274,1.887069649
1.974081026,2.48490665,2.302585093
1.974081026,2.48490665,1.791759469
1.931521412,3.33220451,0
1.945910149,3.496507561,0.693147181
1.960094784,3.401197382,0.916290732
2.091864062,3.218875825,-0.494296322
1.85629799,4.382026635,-2.302585093
1.960094784,4.094344562,-1.203972804
2.151762203,3.496507561,-0.693147181
2.041220329,4.094344562,-2.302585093
1.960094784,4.17438727,-1.609437912
1.945910149,4.382026635,-0.356674944
2.014903021,3.912023005,-1.203972804
1.987874348,3.044522438,-1.203972804
2.116255515,3.80666249,1.877937165
2.140066163,3.091042453,2.912350665
1.974081026,3.496507561,-2.813410717
1.916922612,3.496507561,2.708050201
2.00148,4.094344562,1.098612289
2.00148,3.401197382,0
1.960094784,3.401197382,0
1.916922612,2.302585093,0
2.054123734,2.995732274,3.401197382
2.208274414,3.496507561,3.126760536
1.987874348,3.496507561,0.587786665
2.066862759,3.218875825,0.262364264
2.066862759,3.555348061,-0.916290732
2.00148,2.944438979,-2.302585093
1.609437912,3.688879454,-1.609437912
2.079441542,4.094344562,1.740466175
1.774952351,3.496507561,0
2.014903021,2.995732274,-0.287682072
1.902107526,2.995732274,-1.203972804
1.987874348,3.555348061,3.218875825
1.887069649,3.496507561,-1.203972804
2.00148,4.007333185,-0.430782916
1.871802177,4.787491743,-0.105360516
1.987874348,3.555348061,-0.105360516
1.871802177,2.708050201,-2.302585093
1.916922612,3.555348061,0
1.960094784,3.218875825,-0.210721031
1.945910149,3.688879454,-1.078809661
1.974081026,3.496507561,-2.302585093
1.740466175,4.094344562,-1.609437912
1.945910149,4.317488114,-2.120263536
1.945910149,3.871201011,1.504077397
2.091864062,2.564949357,2.708050201
2.014903021,3.80666249,3.947390149
1.945910149,4.86753445,-0.510825624
1.931521412,3.401197382,-2.525728644
1.916922612,2.708050201,-2.995732274
2.028148247,1.791759469,2.370243741
1.791759469,4.060443011,-2.302585093
2.00148,2.995732274,-2.525728644
1.840549633,2.890371758,1.945910149
1.987874348,2.564949357,0.693147181
1.987874348,3.496507561,-0.916290732
1.871802177,3.33220451,-2.302585093
2.079441542,3.871201011,-1.609437912
2.041220329,3.433987204,-1.609437912
1.704748092,3.496507561,1.098612289
2.014903021,3.63758616,-0.867500568
2.054123734,3.850147602,0.693147181
2.014903021,4.418840608,-0.223143551
1.808288771,4.605170186,-2.525728644
1.871802177,2.302585093,-2.302585093
1.85629799,3.401197382,0.693147181
2.014903021,3.496507561,-1.714798428
1.987874348,3.688879454,0.182321557
2.014903021,2.708050201,1.121677562
2.014903021,3.401197382,-0.051293294
1.974081026,3.784189634,-2.995732274
1.987874348,4.094344562,-1.832581464
1.987874348,3.583518938,-0.916290732
2.028148247,3.218875825,1.098612289
1.887069649,3.63758616,1.386294361
2.00148,2.564949357,-0.105360516
1.686398954,2.833213344,1.609437912
2.054123734,3.401197382,2.708050201
1.987874348,3.931825633,-0.776528789
1.974081026,1.945910149,-2.813410717
2.028148247,4.290459441,-3.506557897
1.871802177,3.784189634,-0.967584026
1.85629799,3.784189634,-1.139434283
1.667706821,3.496507561,1.098612289
1.791759469,3.496507561,-0.223143551
1.62924054,1.945910149,-3.218875825
1.960094784,3.761200116,0.182321557
2.014903021,4.060443011,1.791759469
2.066862759,3.850147602,2.302585093
2.066862759,3.871201011,-0.673344553
1.987874348,3.931825633,0.693147181
1.960094784,2.197224577,-1.139434283
1.704748092,3.36729583,-2.407945609
1.887069649,1.791759469,-2.659260037
1.824549292,2.772588722,0.587786665
1.945910149,4.744932128,-3.506557897
1.808288771,3.044522438,-2.302585093
1.740466175,0.693147181,-0.755022584
2.054123734,3.496507561,-2.995732274
2.014903021,3.496507561,-0.867500568
1.887069649,3.663561646,-2.302585093
2.028148247,3.218875825,-0.510825624
1.960094784,2.302585093,-0.693147181
2.00148,4.290459441,-0.693147181
1.686398954,4.094344562,0.122217633
2.014903021,3.761200116,0.405465108
1.974081026,3.295836866,0.262364264
2.014903021,3.496507561,1.785070481
2.041220329,3.871201011,-0.446287103
1.960094784,3.912023005,-1.560647748
1.887069649,3.912023005,-0.916290732
1.902107526,2.63905733,0.405465108
1.945910149,3.526360525,1.504077397
1.960094784,3.688879454,-1.609437912
1.960094784,3.583518938,-0.994252273
1.902107526,3.761200116,-0.083381609
1.931521412,1.386294361,-0.274436846
2.066862759,3.496507561,1.704748092
1.945910149,2.708050201,0.693147181
2.066862759,3.891820298,1.098612289
2.028148247,3.912023005,2.660259537
1.974081026,0.693147181,-0.967584026
2.054123734,3.496507561,-0.105360516
2.079441542,3.496507561,-0.967584026
1.945910149,3.713572067,-2.120263536
1.902107526,3.091042453,2.197224577
2.066862759,3.496507561,-2.525728644
2.028148247,3.496507561,-1.897119985
2.028148247,2.944438979,-3.218875825
2.091864062,3.496507561,-0.916290732
1.974081026,4.17438727,2.708050201
2.079441542,3.496507561,-0.510825624
1.704748092,3.496507561,-3.506557897
1.974081026,3.496507561,-1.049822124
1.887069649,2.63905733,-2.659260037
1.902107526,3.496507561,-2.995732274
1.887069649,3.496507561,-1.771956842
1.916922612,3.828641396,-1.203972804
2.014903021,3.496507561,-0.430782916
2.028148247,3.496507561,-0.510825624
2.041220329,3.784189634,-3.506557897
1.931521412,3.17805383,-0.798507696
1.85629799,1.098612289,-2.995732274
2.00148,2.833213344,-2.120263536
1.481604541,3.401197382,0.405465108
2.041220329,2.890371758,-2.120263536
1.85629799,2.302585093,-1.897119985
1.960094784,2.890371758,0.262364264
1.667706821,2.302585093,-0.510825624
1.722766598,3.496507561,0.693147181
1.931521412,3.496507561,1.791759469
1.902107526,2.302585093,-1.832581464
1.945910149,3.784189634,-0.579818495
1.648658626,1.386294361,-1.966112856
1.824549292,2.708050201,-0.356674944
2.066862759,3.496507561,-0.994252273
2.041220329,2.302585093,-1.203972804
1.931521412,3.496507561,-1.203972804
1.902107526,3.496507561,0
2.028148247,3.496507561,-2.407945609
2.041220329,3.218875825,-2.302585093
1.987874348,3.496507561,-2.302585093
1.960094784,3.828641396,-2.302585093
1.686398954,3.951243719,0.262364264
1.85629799,3.496507561,-0.916290732
1.902107526,3.784189634,-1.609437912
2.041220329,3.496507561,-1.660731207
1.808288771,3.091042453,1.098612289
1.974081026,2.63905733,-1.203972804
1.871802177,2.833213344,2.703372612
2.028148247,4.48863637,-0.510825624
2.041220329,3.17805383,0
1.931521412,2.302585093,-2.302585093
1.945910149,0.693147181,-2.302585093
1.871802177,4.143134726,-1.609437912
1.871802177,3.36729583,0.405465108
1.987874348,2.708050201,-2.302585093
1.887069649,3.496507561,-1.609437912
1.686398954,3.36729583,-0.693147181
1.945910149,3.784189634,-1.609437912
1.704748092,3.713572067,-2.040220829
1.902107526,3.828641396,-1.609437912
1.931521412,3.871201011,1.252762968
1.945910149,3.496507561,-2.120263536
2.054123734,3.688879454,0.262364264
1.840549633,2.564949357,1.098612289
1.974081026,3.828641396,0.182321557
2.091864062,3.33220451,-0.105360516
2.041220329,2.944438979,-1.514127733
1.887069649,3.258096538,-1.203972804
2.091864062,3.36729583,-2.302585093
2.054123734,3.526360525,0.405465108
1.840549633,3.871201011,-1.609437912
2.028148247,4.007333185,-3.218875825
1.987874348,4.127134385,-1.832581464
1.902107526,3.988984047,-2.302585093
1.62924054,3.135494216,-1.386294361
1.887069649,3.871201011,-2.302585093
1.987874348,2.772588722,-2.302585093
1.916922612,3.218875825,-2.813410717
2.041220329,3.871201011,-2.302585093
1.931521412,2.302585093,-0.84397007
1.871802177,3.496507561,-2.302585093
2.028148247,2.302585093,-1.660731207
1.902107526,3.610917913,-2.302585093
1.916922612,3.970291914,-2.407945609
1.974081026,4.510859507,-2.302585093
2.00148,3.583518938,-1.237874356
2.104134154,2.302585093,-2.302585093
1.808288771,2.197224577,0
1.931521412,2.397895273,-2.207274913
1.887069649,2.302585093,-2.302585093
1.740466175,1.791759469,-0.105360516
1.481604541,3.258096538,0.741937345
2.00148,3.36729583,-1.832581464
1.887069649,3.258096538,0
1.85629799,2.63905733,0.587786665
1.945910149,3.091042453,-1.609437912
2.014903021,2.397895273,-2.302585093
1.871802177,2.302585093,-3.218875825
1.667706821,2.397895273,-2.302585093
1.840549633,2.302585093,-2.302585093
1.931521412,2.302585093,-1.897119985
1.740466175,3.663561646,1.098612289
1.871802177,2.995732274,-1.897119985
2.00148,2.302585093,-0.653926467
1.960094784,3.135494216,-0.223143551
2.00148,3.17805383,0.587786665
1.30833282,2.079441542,1.791759469
1.960094784,2.708050201,-2.302585093
2.014903021,3.496507561,-1.203972804
1.945910149,3.36729583,2.292534757
1.840549633,2.772588722,3.265759411
2.041220329,3.688879454,-0.693147181
2.014903021,3.33220451,-2.302585093
1.987874348,4.262679877,3.465735903
1.887069649,2.995732274,-1.832581464
2.028148247,2.833213344,0.875468737
1.808288771,2.564949357,-2.995732274
2.079441542,4.077537444,-2.302585093
1.945910149,3.526360525,0.693147181
1.916922612,2.890371758,-2.207274913
1.974081026,2.995732274,-3.912023005
1.840549633,2.564949357,2.63188884
1.902107526,2.772588722,1.30833282
1.85629799,3.258096538,1.098612289
1.840549633,2.397895273,-2.659260037
1.840549633,2.833213344,2.341805806
1.945910149,2.302585093,1.098612289
2.091864062,2.63905733,-1.609437912
1.916922612,2.833213344,1.987874348
1.960094784,3.496507561,-0.634878272
1.960094784,3.465735903,-1.078809661
2.014903021,3.295836866,-2.407945609
1.916922612,3.091042453,-1.609437912
2.079441542,3.044522438,-1.609437912
1.931521412,3.135494216,1.386294361
1.887069649,2.63905733,-0.693147181
1.931521412,2.564949357,-2.302585093
2.041220329,2.995732274,0
1.960094784,2.397895273,1.098612289
1.871802177,2.63905733,-0.510825624
1.987874348,3.828641396,-0.916290732
2.054123734,3.401197382,2.397895273
1.974081026,3.135494216,0.951657876
2.00148,3.496507561,0.405465108
1.931521412,3.33220451,-2.302585093
1.931521412,2.995732274,-2.302585093
1.85629799,2.995732274,0.09531018
1.987874348,2.302585093,1.232560261
2.066862759,3.496507561,2.041220329
2.028148247,3.17805383,1.62924054
2.091864062,3.496507561,-2.302585093
1.887069649,2.302585093,-0.673344553
1.931521412,3.044522438,-1.714798428
2.028148247,3.496507561,-1.203972804
1.960094784,3.17805383,-2.407945609
1.62924054,3.496507561,-2.207274913
1.945910149,2.302585093,-1.609437912
1.85629799,2.995732274,-0.597837001
1.887069649,2.302585093,-0.916290732
1.887069649,3.091042453,-1.609437912
1.987874348,3.496507561,1.098612289
2.066862759,3.496507561,-3.506557897
1.916922612,2.995732274,2.079441542
1.871802177,2.302585093,-4.605170186
2.028148247,3.496507561,-2.040220829
2.079441542,2.302585093,2.710048204
1.987874348,3.496507561,1.011600912
1.960094784,3.218875825,0.924258902
2.041220329,3.496507561,1.887069649
2.054123734,2.564949357,-0.693147181
1.987874348,3.496507561,1.791759469
1.686398954,3.63758616,-1.203972804
2.014903021,3.258096538,-2.659260037
2.054123734,2.302585093,-2.659260037
1.808288771,2.302585093,-1.966112856
1.774952351,2.302585093,1.098612289
1.871802177,2.302585093,-1.386294361
2.104134154,2.833213344,2.174751721
2.054123734,4.094344562,-2.207274913
2.104134154,3.496507561,-2.120263536
1.757857918,2.995732274,1.098612289
1.987874348,2.63905733,1.098612289
2.014903021,3.044522438,-2.995732274
1.974081026,3.433987204,-1.609437912
1.887069649,3.496507561,1.704748092
2.054123734,2.564949357,1.609437912
1.902107526,3.044522438,0.693147181
2.041220329,2.302585093,-0.494296322
2.054123734,3.496507561,1.098612289
2.028148247,3.17805383,-2.525728644
1.931521412,2.48490665,-1.897119985
1.704748092,2.079441542,1.481604541
2.014903021,3.33220451,-1.139434283
2.091864062,3.295836866,-1.108662625
1.916922612,2.302585093,-1.897119985
1.774952351,2.302585093,0
1.871802177,2.833213344,-0.46203546
1.568615918,3.295836866,-0.072570693
1.945910149,2.63905733,-2.813410717
1.85629799,2.302585093,-0.356674944
1.808288771,2.63905733,-2.120263536
1.960094784,2.302585093,-1.203972804
1.902107526,3.663561646,3.929862924
2.041220329,2.302585093,-0.94160854
1.85629799,3.33220451,1.435084525
1.704748092,2.48490665,-0.916290732
2.128231706,3.401197382,-2.302585093
1.902107526,2.944438979,-2.995732274
1.960094784,2.302585093,-0.867500568
1.916922612,3.583518938,1.252762968
1.916922612,2.397895273,-1.30933332
1.902107526,3.401197382,3.039749159
2.054123734,4.007333185,-2.525728644
1.974081026,3.526360525,-2.302585093
1.887069649,3.33220451,3.086486637
1.887069649,3.663561646,-2.659260037
2.054123734,2.302585093,-0.916290732
1.987874348,2.302585093,-2.525728644
2.104134154,2.302585093,-2.302585093
1.945910149,3.526360525,2.493205453
1.916922612,2.079441542,2.302585093
2.066862759,3.17805383,-1.660731207
1.840549633,3.610917913,-3.506557897
1.824549292,1.609437912,2.307572635
1.887069649,3.044522438,-2.995732274
2.066862759,3.663561646,1.609437912
1.987874348,3.555348061,-1.272965676
2.140066163,3.526360525,-2.120263536
2.00148,3.688879454,-1.832581464
1.887069649,3.218875825,-3.506557897
1.824549292,3.465735903,-1.609437912
2.091864062,2.944438979,-2.407945609
1.945910149,3.091042453,-2.040220829
1.945910149,3.218875825,-0.94160854
2.014903021,2.833213344,-2.207274913
2.00148,3.135494216,-2.040220829
2.014903021,3.583518938,-1.897119985
1.974081026,3.091042453,1.386294361
2.028148247,3.526360525,-0.755022584
1.974081026,2.302585093,-4.605170186
2.041220329,2.48490665,-1.714798428
2.028148247,1.609437912,3.106826321
1.902107526,2.995732274,-1.171182982
2.091864062,2.890371758,-4.605170186
1.987874348,3.80666249,2.017566138
1.85629799,3.258096538,-3.506557897
1.960094784,3.218875825,1.166270937
1.902107526,2.708050201,-2.302585093
1.987874348,2.564949357,3.36729583
1.945910149,3.218875825,-1.966112856
2.140066163,3.135494216,-0.820980552
1.945910149,2.397895273,-3.506557897
2.066862759,3.433987204,-1.46967597
2.014903021,3.555348061,-2.659260037
1.987874348,3.218875825,2.827313622
1.931521412,2.302585093,-2.040220829
1.987874348,2.995732274,1.410986974
2.014903021,2.63905733,-3.506557897
2.00148,2.772588722,1.252762968
1.85629799,3.17805383,-0.510825624
1.840549633,1.791759469,3.660994251
1.987874348,3.465735903,-2.525728644
2.116255515,3.401197382,0.182321557
1.945910149,3.737669618,-2.407945609
2.054123734,2.833213344,-1.714798428
1.945910149,3.135494216,-1.714798428
1.960094784,3.465735903,-2.813410717
1.960094784,3.33220451,-1.966112856
1.931521412,3.465735903,-2.525728644
2.014903021,3.496507561,-1.609437912
1.931521412,3.135494216,-1.609437912
2.140066163,2.995732274,-1.897119985
1.824549292,2.397895273,-1.832581464
2.028148247,3.33220451,2.563409711
2.041220329,3.555348061,-1.049822124
2.014903021,2.63905733,0
2.00148,3.17805383,0.405465108
1.987874348,3.433987204,2.397895273
2.041220329,2.302585093,-2.407945609
2.00148,3.17805383,-2.659260037